person_id,period_start,period_end,first_name,last_name,party,total_ballots,total_votes,avg_absence_rate,avg_yes_rate,avg_no_rate,avg_abstain_rate,avg_win_rate,avg_rebel_rate,violation_count,violation_types,absence_trend,win_rate_trend,rebel_rate_trend,ma_3month_absence,ma_3month_win_rate,ma_3month_rebel_rate,attendance_status,effectiveness_status,discipline_status,behavioral_assessment
0376353897112,2024-05-01 00:00:00+00,2024-05-31,Leif,Nysmed,S,86,30014,15.95,57.63,18.02,8.39,43.50,0.00,0,0,1.53,8.50,0.00,15.41,40.97,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0604811710522,2023-05-01 00:00:00+00,2023-05-31,Ida,Drougge,M,110,38390,14.30,58.29,17.15,10.27,98.83,1.00,0,0,0.57,-1.17,1.00,14.11,90.03,0.63,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0369212790927,2024-11-01 00:00:00+00,2024-11-30,Sofia,Skönnbrink,S,18,6282,15.90,51.79,21.08,11.23,37.33,0.00,0,0,-0.94,-37.17,0.00,15.62,62.28,0.00,MODERATE_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,MODERATE_RISK
0737824098113,2024-05-01 00:00:00+00,2024-05-31,Magnus,Berntsson,KD,86,30014,15.95,57.63,18.02,8.39,82.50,0.00,0,0,1.53,-15.00,0.00,15.41,73.33,0.00,MODERATE_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0996640018922,2024-12-01 00:00:00+00,2024-12-31,Yasmine,Bladelius,S,27,9423,14.01,61.21,21.44,3.34,20.00,0.00,0,0,-1.89,-6.33,0.00,15.58,29.94,0.00,LOW_ABSENTEEISM,LOW_EFFECTIVENESS,PARTY_LOYAL,STANDARD_BEHAVIOR
0940980416614,2024-02-01 00:00:00+00,2024-02-29,Jan,Ericson,M,42,14658,16.63,57.18,20.31,5.88,100.00,0.00,0,0,2.85,0.00,0.00,15.07,100.00,0.00,MODERATE_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0174490514929,2023-02-01 00:00:00+00,2023-02-28,Marcus,Andersson,S,23,8027,15.18,55.76,16.80,12.27,52.50,0.00,0,0,2.86,-7.50,0.00,14.40,62.50,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0880018341619,2024-11-01 00:00:00+00,2024-11-30,Thomas,Morell,SD,18,6282,15.90,51.79,21.08,11.23,55.33,0.00,0,0,-0.94,-44.67,0.00,15.62,76.78,0.00,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,MODERATE_RISK
0112333043027,2023-03-01 00:00:00+00,2023-03-31,Rasmus,Giertz,SD,80,27920,14.31,59.15,17.96,8.59,67.88,0.00,0,0,-0.87,12.13,0.00,13.94,74.54,0.00,LOW_ABSENTEEISM,EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
0338088431726,2023-05-01 00:00:00+00,2023-05-31,Sara,Gille,SD,110,38390,14.30,58.29,17.15,10.27,57.33,0.00,0,0,0.57,5.83,0.00,14.02,54.42,0.00,LOW_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,STANDARD_BEHAVIOR
